"Num_Acc";"circ";"nbv";"vma";"surf_gr";"prof_gr";"plan_gr";"infrastructure"
"202100000408";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000409";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000410";"2";2;50;"normale";"plat";"rectiligne";"oui"
"202100000411";"2";NA;NA;"normale";"plat";"rectiligne";"oui"
"202100000412";"2";2;30;"normale";"plat";"rectiligne";"oui"
"202100000413";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000414";"2";6;50;"normale";"plat";"rectiligne";"non"
"202100000415";"2";2;50;"normale";"plat";"rectiligne";"non"
"202100000416";"2";1;50;"normale";"plat";"rectiligne";"non"
"202100000417";"2";2;30;"normale";"plat";"rectiligne";"non"
"202100000418";"1";2;90;"risquée";"plat";"rectiligne";"non"
"202100000419";"2";2;50;"normale";"plat";"rectiligne";"non"
